"","geneName","name","intensity","time"
"171","gadC","JH01_B03",53.1893043563963,60
"172","gadC","JH01_B04",1024.52828156625,90
"173","gadC","JH01_B05",22896.3093003291,120
"174","gadC","JH01_B06",88688.7722296042,150
"175","gadC","JH01_C01",50.9300657029237,0
"176","gadC","JH01_C02",68.410711816454,30
"177","gadC","JH01_C03",78.5711812348439,60
"178","gadC","JH01_C04",3303.7948143975,90
"179","gadC","JH01_C05",37480.1347851479,120
"180","gadC","JH01_C06",94980.5615976631,150
"181","gadB","JH01_A01",18.7007405134391,0
"182","gadB","JH01_A02",0,30
"183","gadB","JH01_A03",39.7210248095694,60
"184","gadB","JH01_A04",71.5752696514962,90
"185","gadB","JH01_A05",7628.58178589773,120
"186","gadB","JH01_A06",57321.8346930975,150
"187","gadB","JH01_B01",31.3059270116861,0
"188","gadB","JH01_B02",36.0649160145381,30
"189","gadB","JH01_B03",48.5641474558401,60
"190","gadB","JH01_B04",967.494824596464,90
"191","gadB","JH01_B05",17527.3615224334,120
"192","gadB","JH01_B06",83628.2825924567,150
"193","gadB","JH01_C01",49.4749209685545,0
"194","gadB","JH01_C02",28.9875897527348,30
"195","gadB","JH01_C03",58.0296959446887,60
"196","gadB","JH01_C04",2945.43072118436,90
"197","gadB","JH01_C05",37275.0762969617,120
"198","gadB","JH01_C06",83828.849188579,150
"199","katE","JH01_A01",19.9474565476683,0
"200","katE","JH01_A02",160.005290112719,30
"201","katE","JH01_A03",245.64317974339,60
"202","katE","JH01_A04",698.911456596963,90
"203","katE","JH01_A05",7485.30164990762,120
"204","katE","JH01_A06",12627.4786848175,150
"205","katE","JH01_B01",92.2255687641564,0
"206","katE","JH01_B02",153.750431430399,30
"207","katE","JH01_B03",368.856262819357,60
"208","katE","JH01_B04",2894.18869823015,90
"209","katE","JH01_B05",12132.3199964469,120
"210","katE","JH01_B06",12728.6303446128,150
"211","katE","JH01_C01",10.1860131405847,0
"212","katE","JH01_C02",315.384976509754,30
"213","katE","JH01_C03",508.401760931343,60
"214","katE","JH01_C04",6349.88960670914,90
"215","katE","JH01_C05",11258.4704773056,120
"216","katE","JH01_C06",10845.133744741,150
"217","osmE","JH01_A01",417.649871466806,0
"218","osmE","JH01_A02",776.654891333646,30
"219","osmE","JH01_A03",1649.4678197237,60
"220","osmE","JH01_A04",2696.70354186961,90
"221","osmE","JH01_A05",14199.2062040301,120
"222","osmE","JH01_A06",22640.9473254232,150
"223","osmE","JH01_B01",444.205721111762,0
"224","osmE","JH01_B02",708.011245969617,30
"225","osmE","JH01_B03",1430.32977149701,60
"226","osmE","JH01_B04",10694.2916678064,90
"227","osmE","JH01_B05",16815.1931294195,120
"228","osmE","JH01_B06",20804.8317549145,150
"229","osmE","JH01_C01",558.775577997792,0
"230","osmE","JH01_C02",941.516915168825,30
"231","osmE","JH01_C03",1931.9266915391,60
"232","osmE","JH01_C04",12957.4792355041,90
"233","osmE","JH01_C05",15172.8091740159,120
"234","osmE","JH01_C06",22331.1068646099,150
"235","yeaG","JH01_A01",66.0759498141513,0
"236","yeaG","JH01_A02",140.229355379686,30
"237","yeaG","JH01_A03",601.041822776379,60
"238","yeaG","JH01_A04",1148.36204690856,90
"239","yeaG","JH01_A05",8971.6521515424,120
"240","yeaG","JH01_A06",15553.6665717505,150
"241","yeaG","JH01_B01",97.3022055768622,0
"242","yeaG","JH01_B02",197.407961342735,30
"243","yeaG","JH01_B03",672.960329030927,60
"244","yeaG","JH01_B04",6123.31933466465,90
"245","yeaG","JH01_B05",14675.5057859764,120
"246","yeaG","JH01_B06",17876.8172380716,150
"247","yeaG","JH01_C01",91.6741182652627,0
"248","yeaG","JH01_C02",260.888307774613,30
"249","yeaG","JH01_C03",670.67949472357,60
"250","yeaG","JH01_C04",7358.54359940454,90
"251","yeaG","JH01_C05",12014.9084559481,120
"252","yeaG","JH01_C06",15587.0683002234,150
"253","yeaH","JH01_A01",1.24671603422927,0
"254","yeaH","JH01_A02",32.3606204722352,30
"255","yeaH","JH01_A03",76.3061792394359,60
"256","yeaH","JH01_A04",208.410343985239,90
"257","yeaH","JH01_A05",2137.62384704438,120
"258","yeaH","JH01_A06",4401.17066716167,150
"259","yeaH","JH01_B01",26.2292901989803,0
"260","yeaH","JH01_B02",41.7593764378862,30
"261","yeaH","JH01_B03",78.6276673094554,60
"262","yeaH","JH01_B04",1620.78714988668,90
